항목,클러스터번호,질문
방임,-1,아빠가 선생님이랑 통화하는 걸 본 적이나 들은 적 있어?
방임,-1,누가 뭐라고 안 해?
방임,-1,어떤 냄새가 났었나요?
방임,-1,지금 밥은 어떤가요?
방임,-1,왜 그런 말을 하나요?
방임,-1,할머니가 굶으라고 하던가요?
방임,-1,누가 위험한 사람이 있다고 이야기했어요?
방임,-1,원장님이 우리 친구 담임선생님이랑 통화하는 걸 보거나 들은 적이 있어?
방임,-1,집에 가면 맛있는 거 많아요?
방임,-1,집에서 빨래는 어떻게 해요?
방임,-1,엄마가 못 오는 이유 알고 있어요?
방임,-1,어떤 영화 좋아해요?
방임,-1,왜 학교에 가지 못하게 되었는지 이야기해 줄래요?
방임,-1,학교를 아예 다니지 못한 건가요?
방임,-1,집 안의 다른 곳도 깨끗하지 않은 곳이 있나요?
방임,-1,왜 그렇게 생각하나요?
방임,-1,"그러면, 친구 옷이나 신발은 잘 맞고 깨끗해요?"
방임,-1,먹다가 아빠가 오면 어떻게 되나요?
방임,-1,아빠가 요리를 해준 적이 있나요?
방임,-1,누가 오시나요?
방임,-1,선생님이 새로운 옷을 잘 안 사주나요?
방임,-1,아빠가 왜 밥을 챙겨주지 않아요?
방임,-1,얼마나 오랫동안 신었어요?
방임,-1,보건 선생님은 어떻게 치료하나요?
방임,-1,어떤 약인지 모르고 먹는 건가요?
방임,-1,그럴 때 기분은 어때?
방임,-1,빨래는 늘 잘 돼서 나오나요?
방임,-1,선생님이랑은 교류가 많이 없나요?
방임,-1,그 이후에는 괜찮아졌어?
방임,-1,아빠가 바쁘셔서 학교에 못 오시는 거야?
방임,-1,"그럼, 그럴 땐 어떻게 해요?"
방임,-1,옷은 늘 깨끗하고 좋은 향이 나나요?
방임,-1,아빠는 잘 못 오시나요?
방임,-1,그럴 때 친구의 기분은 어떤가요?
방임,-1,오늘은 어떤 걸 만드나요?
방임,-1,"원장님이 밥이나 빨래, 옷은 잘 챙겨주시나요?"
방임,-1,"너무 잘 얘기해주고 있어요. 말하기 힘들겠지만, 좀만 더 얘기해줄래요?"
방임,-1,말하기가 어려워요?
방임,-1,새아빠는 왜 밥을 못 먹게 하고 치킨만 줬나요?
방임,-1,
방임,-1,친구도 행사에 참여한 적이 없나요?
방임,-1,못 오실 때도 있어요?
방임,-1,왜 하기 싫은지 알려줄 수 있어?
방임,-1,아빠가 뭐라고 안 해?
방임,-1,아빠가 뭐라고 하시진 않아요?
방임,0,피시방 같은 곳을 자주 가는 편이야?
방임,0,피시방도 가?
방임,0,피시방 같은 곳을 자주 가요?
방임,0,피시방 같은 곳은 얼마나 자주 가?
방임,0,피시방은 얼마나 자주 가?
방임,0,피시방 같은 곳을 자주 가는 편이야? 한 달에 몇 번?
방임,0,피시방 같은 곳을 자주 가?
방임,0,피시방 같은 곳은 일주일에 몇 번 정도 가는 편이야?
방임,0,피시방 같은 곳을 얼마나 자주 갔어요?
방임,0,피시방 같은 곳에 가요?
방임,0,피시방도 가고 그래?
방임,0,피시방 같은 곳에 얼마나 자주 가?
방임,0,피시방 같은 곳은 얼마나 자주 갈까?
방임,0,피시방 같은 곳은 얼마나 자주 가나요?
방임,0,피시방 같은 곳을 얼마나 자주 가나요?
방임,0,피시방에 자주 가나요?
방임,0,피시방도 가봤어?
방임,0,피시방 같은 곳을 얼마나 자주 가?
방임,0,피시방은 안 가요?
방임,0,피시방 가봤어?
방임,0,피시방을 자주 가나요?
방임,0,피시방 같은 곳을 얼마나 자주 가나요.
방임,0,피시방은 얼마나 자주 가나요?
방임,0,피시방 같은 곳을 얼마나 자주 가니?
방임,0,피시방은 자주 가?
방임,0,피시방 같은 곳을 자주 가나요?
방임,1,평소에 나를 돌봐주는 어른은 누구야?
방임,1,주로 누가 돌봐주는 편이야?
방임,1,집에서 주로 돌봐주는 사람이 누구예요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요?
방임,1,주로 나를 돌봐주는 어른은 누구셔?
방임,1,주로 집에서 돌봐주는 사람은 누구야?
방임,1,주로 나를 돌봐주는 어른은 누구예요?
방임,1,학교나 학원 끝나고 집에 가면 집에 누가 있나요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구예요?
방임,1,주로 나를 돌봐주는 어른은 누구인가요?
방임,1,학교나 학원 끝나고 집에 가면 집에 항상 누가 있어요?
방임,1,집에서 주로 친구를 돌봐주는 어른은 누구야?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아갔을 때 항상 계시나요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구야?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아갔을 때 항상 집에 계시나요?
방임,1,학교나 학원 끝나고 집에 가면 항상 누가 있나요?
방임,1,집에서 주로 누가 돌봐줘?
방임,1,집에서 주로 친구를 돌봐주는 사람은 누구야?
방임,1,학교 끝나고 집에 가면 주로 집에 누가 있어?
방임,1,주로 나를 돌봐주는 어른 누구셔?
방임,1,집에서 주로 나를 돌봐주시는 어른은 누구인가요? 학교나 학원이 끝나고 오면 항상 계세요?
방임,1,집에 있으면 주로 누가 돌봐줘?
방임,1,"집에서 주로 나를 돌봐주는 어른은 누구인가요? 학교, 학원이 끝나고 오면 항상 계신가요?"
방임,1,학교나 학원 끝나고 집에 가면 집에 항상 누가 있나요?
방임,1,주로 친구를 돌봐주는 어른은 누구인가요?
방임,1,"엄마가 밥이나 빨래, 옷은 잘 챙겨주세요?"
방임,1,학교나 학원 끝나고 집에 가면 집에 항상 누가 계시나요?
방임,1,집에서 주로 친구를 돌봐주는 어른은 누구예요?
방임,1,집에서 주로 돌봐주는 어른이 누구야?
방임,1,집에서 주로 나를 돌봐주는 사람은 누구인가요?
방임,1,학교나 학원 끝나고 집에 가면 항상 누가 있어요?
방임,1,주로 친구를 돌봐주는 어른은 누구야?
방임,1,평소에 주로 친구를 돌봐주는 어른은 누구야?
방임,1,학교나 학원 끝나고 집에 가면 보통 누가 있어?
방임,1,주로 돌봐주는 어른은 누구예요?
방임,1,주로 너를 돌봐주시는 어른은 누구야?
방임,1,집에서 주로 친구를 돌봐주는 어른은 누구인가요?
방임,1,주로 나를 돌봐주는 어른은 누구야?
방임,1,집에 주로 나를 돌봐주는 어른은 누구인가요?
방임,1,집에서 친구를 주로 돌봐주는 어른이 누구인가요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누군가요?
방임,1,시설에서 주로 나를 돌봐주는 어른은 누구인가요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 집에 가면 항상 누가 있나요?
방임,1,학교나 학원 끝나고 집에 가면 집에 항상 누가 있어?
방임,1,나를 주로 돌봐주는 사람은 누구야?
방임,1,집에서 주로 친구를 돌봐주는 사람은 누구예요?
방임,1,학교 끝나고 집에 가면 주로 집에 누가 있어요?
방임,1,나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아갔을 때 항상 계신가요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 항상 집에 계시나요?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아왔을 때 항상 계시나요?
방임,1,집에서 주로 돌봐주는 사람이 누구야?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구에요?
방임,1,집에서 주로 친구를 돌봐주는 어른이 누구예요?
방임,1,학교나 학원 끝나고 집에 가면 집에 항상 어른이 있는 거예요?
방임,1,"집에서 나를 주로 돌봐주는 어른은 누구인가요? 학교, 학원 끝나고 집에 갔을 때 항상 계시나요?"
방임,1,집에서 친구를 주로 돌봐주는 어른은 누구인가요?
방임,1,주로 나를 돌봐주는 분은 누구예요?
방임,1,주로 친구를 돌봐주는 어른은 누구예요?
방임,1,집에 가면 보통 누가 있어?
방임,1,집에서 주로 날 돌봐주는 사람은 누구인가요?
방임,1,엄마가 학교 끝나고 집에 가면 항상 계시는 편이야?
방임,1,센터에서 주로 친구를 돌봐주는 어른은 누구예요?
방임,1,집에서 주로 친구를 돌봐주는 어른은 누군가요?
방임,1,잘 챙겨주시나요?
방임,1,학교나 학원이 끝나고 집에 오면 항상 누가 계시나요?
방임,1,집에서 주로 돌봐주는 어른은 누구예요?
방임,1,집에서 주로 나를 돌봐주는 사람은 누구예요?
방임,1,나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아갔을 때 항상 계시나요?
방임,1,시설에서 주로 나를 돌봐주는 사람은 누구인가요?
방임,1,평소에 집에 가면 누가 나를 챙겨줘?
방임,1,너랑 주로 많은 시간을 보내는 어른이 누구야?
방임,1,집에서 주로 돌봐주시는 어른은 누구셔?
방임,1,집에 있을 때 주로 누가 돌봐줘?
방임,1,나를 주로 돌봐주는 어른은 누구인가요?
방임,1,나를 주로 돌봐주는 어른이 누구예요?
방임,1,나를 주로 돌봐주는 어른은 누구인가요? 시설에 돌아갔을 때 항상 계시나요?
방임,1,주로 집에서 나를 돌봐주는 사람은 누구인가요?
방임,1,학교나 학원에 갔다 돌아오면 집에 누가 있나요?
방임,1,학교나 학원 끝나면 집에 누가 있나요?
방임,1,주로 돌봐주는 어른은 누구인가요? 집에 돌아왔을 때 항상 계시나요?
방임,1,학교나 학원 끝나고 집에 가면 항상 아빠가 있나요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구셔?
방임,1,학교나 학원 끝나고 집에 가면 누가 나를 챙겨줘?
방임,1,시설에서 주로 돌봐주시는 어른이 누구야?
방임,1,집에서 주로 나를 돌봐주는 사람은 누군가요?
방임,1,학교 끝나고 집에 오면 집에 항상 누가 있어요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 항상 집에 계신가요?
방임,1,지금 나를 주로 돌봐주는 어른은 누구인가요? 하교 후 돌아갔을 때 항상 계시나요?
방임,1,친구를 돌봐주는 어른은 누군가요?
방임,1,"집에서 주로 나를 돌봐주는 어른은 누구인가요? 학교, 학원이 끝나고 오면 항상 계시나요?"
방임,1,집에서 주로 돌봐주는 사람은 누구인가요?
방임,1,학교나 학원 끝나면 집에 항상 누가 있나요?
방임,1,집에서 주로 친구를 돌봐주는 어른은 누구시니?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아갔을 때 항상 집에 계신가요?
방임,1,집에서 친구를 주로 돌봐주는 사람이 누구인가요?
방임,1,센터에서 주로 친구를 돌봐주는 어른은 누구인가요?
방임,1,집에서 주로 나를 돌봐주는 사람이 누구야?
방임,1,학교나 학원 끝나고 나면 집에 항상 누가 있어요?
방임,1,집에 가면 주로 누가 보살펴 줘?
방임,1,"집에서 나를 주로 돌봐주는 어른은 누구인가요? 
학교, 학원이 끝나고 가면 항상 집에 계시나요?"
방임,1,학교나 학원이 끝나고 집에 가면 집에 항상 어른이 계시나요?
방임,1,여기서 주로 돌봐주는 어른은 누구예요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 학교나 학원 끝나고 집에 가면 집에 항상 누가 있나요?
방임,1,집에서 주로 나를 돌봐주는 어른이 누구야?
방임,1,나를 주로 돌봐주는 어른은 누구인가요? 학교에서 돌아갔을 때 항상 계시나요?
방임,1,집에서 주로 나를 돌봐주는 어른이 누구예요?
방임,1,학교 끝나고 집에 가면 집에 항상 누가 계시나요?
방임,1,평소에 주로 친구를 돌봐주는 어른은 누구인가요?
방임,1,"엄마가 빨래나 밥, 옷은 잘 챙겨주셔?"
방임,1,집에서 나를 돌봐주는 사람이 누구야?
방임,1,학교나 학원 끝나고 집에 가면 항상 할머니가 있는 거야?
방임,1,주로 누가 돌봐줘?
방임,1,학교 끝나고 집에 가면 누가 나를 챙겨줘?
방임,1,선생님은 빨래나 청소 같은 집안일을 잘하시나요?
방임,1,학교나 학원 끝나고 가면 집에 항상 누가 있어?
방임,1,나를 주로 돌봐주는 어른은 누구인가요? 시설에 돌아왔을 때 항상 계시나요?
방임,1,학교 끝나고 여기 오면 주로 있는 선생님이 누구인 것 같아요?
방임,1,현재 주로 나를 돌봐주는 어른은 누구인가요?
방임,1,"엄마가 밥이나 옷, 빨래 잘 챙겨주시니?"
방임,1,학교나 학원 끝나고 가면 항상 누가 있어요?
방임,1,학교나 학원 끝나고 집에 가면 집에 항상 아빠가 있나요?
방임,1,주로 돌봐주는 어른은 누구야?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 학교나 학원 끝나고 집에 가면 항상 계시는가요?
방임,1,나를 주로 돌봐주시는 어른은 누구인가요? 항상 계시나요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 집에 오면 항상 계시나요?
방임,1,어머님이 잘 챙겨주시나요?
방임,1,집에서 주로 친구를 돌봐주는 어른은 할아버지겠네?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 학교 끝나고 오면 항상 계시나요?
방임,1,집에서 주로 돌봐주는 어른은 누구에요?
방임,1,집에서 누가 주로 돌봐주시나요?
방임,1,"그럼, 우리 친구는 집에서 주로 돌봐주는 어른이 누구예요?"
방임,1,학교나 학원 끝나고 가면 집에 항상 누가 있나요?
방임,1,집에서 주로 친구를 돌보는 어른이 있나요?
방임,1,주로 집에서 누가 돌봐줘?
방임,1,친구는 집에서 주로 누가 돌봐줘?
방임,1,센터에서 주로 나를 돌봐주는 어른은 누구야?
방임,1,시설에서 주로 친구를 돌봐주는 어른은 누구야?
방임,1,집에서 주로 돌봐주는 어른이 누구예요?
방임,1,"엄마가 밥이나 빨래, 옷은 잘 챙겨주시나요?"
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요? 돌아가실 때 항상 집에 계시나요?
방임,1,학교나 학원 끝나고 집에 가면 항상 엄마가 있어?
방임,1,집에 있을 때 보통 누가 돌봐줘?
방임,1,나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아왔을 때 항상 계시나요?
방임,1,"그럼, 집에 가면 누가 있나요?"
방임,1,집에서 친구를 주로 돌봐주는 어른은 누구야?
방임,1,학교나 학원 끝나고 집에 가면 항상 엄마가 있어요?
방임,1,집에서 주로 나를 돌봐주는 어른이 있나요?
방임,1,학교나 학원이 끝나고 집에 돌아오면 집에 항상 누가 있어요?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구야?
방임,1,집에서 주로 친구를 돌봐주는 사람은 누구인가요?
방임,1,주로 나를 돌봐주는 어른은 누구에요?
방임,1,주로 시설에서 돌봐주는 사람은 누구야?
방임,1,시설에서 주로 친구를 돌봐주는 어른은 누구인가요?
방임,1,아빠가 집에서 잘 돌봐주셔?
방임,1,"엄마가 밥이나 빨래, 옷 잘 챙겨주시나요?"
방임,1,집에서 나를 주로 돌봐주시는 어른은 누구야?
방임,1,평소에 주로 누가 돌봐줘?
방임,1,주로 나를 돌봐주시는 분은 누구예요?
방임,1,학교나 학원 끝나고 집에 가면 항상 엄마가 있나요?
방임,1,"나를 주로 돌봐주는 어른은 누구인가요? 학교, 학원이 끝나고 집에 돌아갔을 때 항상 계시나요?"
방임,1,주로 돌봐주는 어른은 누구인가요? 집에 돌아갔을 때 항상 계시나요?
방임,1,집에서 주로 돌봐주는 어른은 누구셔?
방임,1,옛날 시설에서 주로 나를 돌봐주는 사람은 누구인가요?
방임,1,집에 가면 주로 누가 돌봐줘?
방임,1,집에서 주로 친구를 돌봐주는 어른은 누구에요?
방임,1,요즘 주로 나를 돌봐주는 어른은 누구인가요?
방임,1,너랑 주로 많은 시간을 보내는 어른은 누구야?
방임,1,집에서 주로 나를 돌봐주는 사람이 누구예요?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요? 학교 끝나고 집에 돌아갔을 때 항상 집에 계시나요?
방임,1,집에서 평소에 친구를 돌봐주는 어른은 누구야?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구예요?
방임,1,학교나 학원 끝나고 가면 집에 항상 누가 있어요?
방임,1,"집에서 주로 나를 돌봐주는 어른은 누구야? 내가 학교, 학원이 끝나고 집에 오면 항상 계셔?"
방임,1,"그럼, 학교 끝나고 집에 가면 누가 있나요?"
방임,1,"어머니가 빨래나 옷, 밥 등등 잘 챙겨줘요?"
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 학교나 학원 끝나고 집에 가면 집에 항상 누가 있어요?
방임,1,주로 친구를 돌봐주는 사람은 누구야?
방임,1,집이나 시설에서 주로 친구를 돌봐주는 어른은 누구예요?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요?
방임,1,집에서 주로 누가 돌봐줘? 보통 누가 집에 있어?
방임,1,집에서 주로 우리 친구를 돌봐주는 어른은 누구인가요?
방임,1,집에서 주로 누가 돌봐주셔?
방임,1,평소에 주로 돌봐주는 사람은 누구야?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 집에 돌아갔을 때 항상 집에 계시나요?
방임,1,"그럼, 집에서 주로 돌봐주는 어른이 누구예요?"
방임,1,평소에 주로 나를 돌봐주는 어른은 누구야?
방임,1,나를 주로 돌봐주는 어른은 누구인가요? 학교 끝나고 돌아갔을 때 항상 계시나요?
방임,1,학교 끝나고 집에 오면 항상 엄마가 있나요?
방임,1,지금 살고 있는 곳에서 나를 돌봐주는 어른은 누구야?
방임,1,나를 주로 돌봐주시는 어른은 누구야?
방임,1,친구를 주로 돌봐주는 어른은 누구인가요?
방임,1,집에서 친구를 돌봐주는 어른은 누구예요?
방임,1,학교나 학원이 끝나면 집에 항상 누가 있어요?
방임,1,주로 집에서 돌봐주는 사람은 누구인가요?
방임,1,학교 끝나고 집에 오면 항상 할머니가 계셔요?
방임,1,집에서 주로 친구를 돌봐주는 사람이 누구야?
방임,1,집에서 주로 돌봐주는 사람은 누구야?
방임,1,집에서 주로 돌봐주는 어른은 누구야?
방임,1,학교나 학원 끝나고 집에 가면 항상 집에 있는 사람 있어?
방임,1,학교나 학원 끝나고 집에 가면 누가 있나요?
방임,1,집에서 친구를 돌봐주는 어른은 누군가요?
방임,1,집에서 주로 친구를 돌봐주는 어른은 누구셔?
방임,1,집에서 나를 주로 돌봐주는 어른은 누구인가요? 집에 돌아왔을 때 항상 집에 계시나요?
방임,1,"그러면, 주로 친구를 돌봐주는 어른은 누구예요?"
방임,1,학교나 학원 끝나고 집에 가면 누가 계시나요?
방임,1,집에서 주로 돌봐주는 어른은 누구인가요?
방임,1,보육원에서 주로 나를 돌봐주는 사람은 누구인가요?
방임,1,학교나 학원 끝나고 나면 보육원에 항상 누가 있나요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 집에 항상 계신가요?
방임,1,친구를 주로 돌봐주는 사람은 누구인가요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구야? 항상 집에 계셔?
방임,1,집에서 나를 주로 돌봐주시는 어른은 누구인가요? 집에 돌아갔을 때 항상 계시나요?
방임,1,집에서는 주로 누가 돌봐주는 편이야?
방임,1,"집에서 나를 주로 돌봐주는 어른은 누구인가요? 학교, 학원이 끝나고 가면 항상 집에 계시나요?"
방임,1,학교가 끝나고 집에 가면 주로 집에 누가 있어?
방임,1,친구를 돌봐주는 어른은 누구인가요?
방임,1,집에서 주로 친구를 돌봐주는 어른이 누구에요?
방임,1,형 말고 돌봐주는 어른은 없을까요?
방임,1,학교나 학원이 끝나고 집에 가면 항상 누가 있어요?
방임,1,평소에 주로 누가 보살펴 줘?
방임,1,친구를 돌봐주는 어른은 누구예요?
방임,1,시설에서 주로 돌봐주는 어른은 누구인가요? 항상 계시나요?
방임,1,친구를 주로 돌봐주는 어른은 누구예요?
방임,1,집에서 주로 나를 돌봐주는 어른은 누구인가요? 학교나 학원 끝나면 집에 누가 있나요?
방임,1,학교 끝나고 집에 가면 누가 있어요?
방임,1,우리 친구 주로 돌봐주는 어른은 누구예요?
방임,1,센터에서 주로 나를 돌봐주는 어른은 누구예요?
방임,1,주로 집에서 돌봐주는 어른은 누구예요?
방임,1,나를 주로 돌봐주는 어른은 누구야?
방임,1,평소에 주로 친구를 돌봐주는 어른은 누구예요?
방임,1,엄마랑 아빠가 바쁘면 누가 나를 돌봐줘?
방임,1,학교나 학원이 끝나면 주로 누가 집에 계시나요?
방임,1,센터 선생님이 잘 챙겨주시나요?
방임,1,학교나 태권도 끝나고 집에 오면 항상 엄마가 있는 편이에요?
방임,1,집에서 친구를 봐주시는 어른은 누구예요?
방임,1,시설에서 주로 친구를 돌봐주는 어른은 누구예요?
방임,1,집 안에서 주로 누가 친구를 돌봐줘?
방임,2,한 달에 몇 번 정도 그런 옷을 입었나요?
방임,2,누가 얼마나 자주 오시나요?
방임,2,일주일에 몇 번 정도 그래요?
방임,2,빨래는 자주 하나요?
방임,2,기간은 어느 정도인가요?
방임,2,얼마나 자주 그런가요?
방임,2,한 달에 몇 번이나 그래요?
방임,2,안 오신 적은 없나요?
방임,2,한 달에 몇 번이나 있었어?
방임,2,얼마나 그랬던 거 같아요?
방임,2,얼마나 자주 그래요?
방임,2,자주 그러시나요?
방임,2,얼마나 자주 오시나요?
방임,2,그런 행사에 얼마나 자주 오세요?
방임,2,얼마나 자주 그랬나요?
방임,2,자주 그런 일이 있어요?
방임,2,이런 적이 처음이야?
방임,2,몇 번 정도 그랬어?
방임,2,깜빡하시는 경우가 일주일에 몇 번인가요?
방임,2,얼마나 자주 그랬어?
방임,2,한 달에 몇 번 정도 가는 것 같아?
방임,2,몇 번이나 그러시는 거 같아요?
방임,2,일주일에 몇 번 정도 그런 일이 있어?
방임,2,그런 일이 얼마나 자주 있었어요?
방임,2,그런 적이 일주일에 몇 번 정도 있나요?
방임,2,그런 적이 많이 있어요?
방임,2,한 달에 몇 번 정도 그래?
방임,2,얼마나 그랬어?
방임,2,한 달에 몇 번 정도 그랬어?
방임,2,그런 음식이 자주 나왔나요?
방임,2,몇 번이나 그랬는지 말해 줄 수 있어요?
방임,2,몇 번이나 그런 거 같아요?
방임,2,얼마나 자주 그래?
방임,2,한 달에 몇 번이나 그랬어요?
방임,2,얼마나 자주 그런 일이 있어요?
방임,2,그러면 상처는 지금 어떻게 하고 있나요? 이런 일이 한 달에 몇 번이나 있어요?
방임,2,"그 신발을 얼마나 자주 신고 다녔어? 일주일보다 적은 거 같아, 일주일 넘게 신고 다닌 거 같아?"
방임,2,한 달에 몇 번 정도 그런 일이 있어?
방임,2,일주일에 몇 번이나 그런 일이 있었어?
방임,2,이런 일이 자주 있나요?
방임,2,언제 그랬나요?
방임,2,기간은 어느 정도야?
방임,2,얼마나 자주 그런 적이 있었어요?
방임,2,많이 하는 것 같아요?
방임,2,일주일에 몇 번 정도 그런 일이 있어요?
방임,2,"지금까지를 생각해 보면, 얼마나 많이 오신 것 같아요?"
방임,2,한 달에 몇 번 정도 그렇게 냄새나는 옷을 입었어요?
방임,2,그런 적이 몇 번이었던 거 같아요?
방임,2,그런 일이 얼마나 자주 일어나요?
방임,2,언제 그랬어요?
방임,2,몇 번이나 있어?
방임,2,몇 번이나 그랬어?
방임,2,한 달에 몇 번 정도 그런 일이 있어요?
방임,2,여태까지 몇 번 정도 그랬어?
방임,2,얼마나 자주 그런 일이 있었어요?
방임,2,그런 적이 자주 있나요?
방임,2,그래? 얼마나 기다려야 되니?
방임,2,일주일에 몇 번이나 있어?
방임,2,얼마나 자주 그랬어요?
방임,2,얼마나 오래 그 옷을 입고 다녔어요?
방임,2,엄마가 그렇게 나가는 일이 자주 있나요?
방임,3,집에 혼자 두고 어른들이 말없이 나간 적이 있어요?
방임,3,저녁에 나를 집에 혼자 두고 어른들이 나갔던 적 있나요?
방임,3,저녁에 친구를 집에 혼자 두고 어른들이 나갔던 적이 있어?
방임,3,저녁에 친구를 집에 혼자 두고 어른들이 나갔던 적 있어?
방임,3,친구를 항상 돌봐주는 사람이 갑자기 말도 없이 집을 나가서 안 들어온 적 있어?
방임,3,저녁에 나를 집에 혼자 두고 어른들이 나갔던 적 있나요? 얼마나 자주 이런 일이 있나요?
방임,3,가족 중에 나를 항상 돌봐주는 사람이 갑자기 말도 없이 집을 나가서 안 들어온 적이 있나요?
방임,3,저녁에 친구를 집에 혼자 두고 어른들이 나갔던 적 있나요?
방임,3,엄마가 갑자기 말도 없이 집 나가서 안 들어온 적 있어?
방임,3,"어른들이 집에 친구를 혼자 두고 나가거나, 갑자기 말도 없이 나가서 안 들어온 적이 있어요?"
방임,3,저녁에 친구를 혼자 두고 어른들이 나간다거나 나가서 안 들어온 적이 있을까?
