"text","label"
"어른들이 뭐라고 했는지 빠짐없이 솔직히 대답해","1"
"부모님이 너를 신경쓰지 않는것이 가정에 돈이 없어서 그런거라고 생각한적이 있어?","1"
"부모님이 바쁘다는 핑계로 학교 행사(체육대회, 참관수업 등)에 안오시면 어때? 혼자 그냥 있는거야?","1"
"그냥 다 잊어버리는 게 낫지 않을까?","1"
"부끄럽고 창피한 걸 시킨 사람이 있어?","0"
"너가 그렇게 행동을 하니까 부모님이 화를 내지","1"
"집에서 밥을 잘 안챙겨주니까 배가고프지? 그 때 밥은 어떻게 해?","1"
"내가 원하지 않는데도 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?","0"
"주위 어른들 중 나를 때린 적이 있는 사람이 있나요?","0"
"어떤 부분 때문에 친구의 기분이 안 좋아졌어?","0"
"그 사람이 한 행동이 불편했어? 아니면 장난이라고 생각이 들어?","1"
"그렇게 자주 때리시나요?","0"
"언제부터 그런 일이 있었는지 정확히 대답해","1"
"최근에 나를 때린 어른은 누구인가요? 누가 그랬어요?","0"
"혼자 있는 것도 이제 익숙해졌지 않아?","1"
"가끔 혼나는 건 괜찮은 거잖아?","1"
"어디를 어떻게 아프게 했어?","0"
"무슨 일이 있었는지 지금 정확히 말해봐","1"
"얼마나 다쳤나요?","0"
"너가 어떤 상황에서 도움이 필요하다고 느낄 때 주변 어른들이 그걸 잘 도와주고 있고 알맞은 도움을 준다고 생각한적이 있어?","1"
"그렇게 자주 때리시나요?","0"
"집에 부모님이 없고 혼자 있을 때도 어려운 점 없지?","1"
"때리시는 이유가 뭐라고 생각해?","0"
"배가 고픈데 먹을 게 없어서 굶은 적이 있나요?","0"
"왜 그런 일에 휘말렸다고 생각해?","1"
"너 지금 무슨일을 당한건지 솔직히 말해 어른인 내가 더 잘 알아","1"
"너는 무슨 행동을 했길래 친구가 그렇게 화를 내는거야?","1"
"누가 나의 소중한 부위를 만지거나 아프게 한 적이 있나요?","0"
"왜 그렇게 했어요?","0"
"학교 행사에 부모님이 못 오셔도 괜찮지 않았어?","1"
"네가 맞을 만한 행동한 거 아니야?","1"
"누가 널 만진적 있는지 빨리 말해 사실을 알아야해","1"
"너무 많이 한다고 어른들이 뭐라고 안 하시나요?","0"
"왜 그냥 도망가지 않았는지 너는 어떻게 생각해?","1"
"할머니가 때리는 이유를 말해주던가요?","0"
"그런 건 누구나 겪는 일이잖아?","1"
"누가 널 불편하고 힘들게 만든게 아니라 너가 오해한거 아니야?","1"
"그 일이 얼마나 심각한지 알고 있어?","1"
"너가 뭔가 행동을 했으니까 그런 일이 생긴거아냐?","1"
"부모님이 실수하신 거면 그냥 넘어가도 되잖아?","1"
"그 사람이 너를 무섭게 만들었구나 그래서 어떻게 했어?","1"
"그 아저씨에게 어느 부위를 무엇으로 맞았어요?","0"
"밥을 잘 안 먹으면 기분이 안좋은데 너는 밥 잘 먹고 있지?","1"
"그렇게 많이 아프지는 않았지?","1"
"집에서 혼자 밥을 먹는 구나 그 때 기분은 어때?","1"
"부모님이 네 감정을 무시하고 그냥 자기 생각만 한다고 느낀 적 있어?","1"
"병원에 입원한 적도 있어?","0"
"인터넷이나 휴대폰을 많이 할 때 어른들이 뭐라고 하진 않아?","0"
"배가 고픈데 먹을 게 없어서 굶은 적이 있나요?","0"
"너가 말을 잘 안들으니까 너를 돌봐주지 않는거라고 생각한적은 없어?","1"
"부끄럽고 창피한 걸 시킨 사람이 있어?","0"
"무엇으로 맞았나요?","0"
"어떻게 혼내셔? 혼낼 때 때리기도 하셔?","0"
"학교나 학원 끝나고 집에 가면 항상 누가 있나요?","0"
"부끄럽고 창피한 걸 시킨 사람이 있어?","0"
"소중한 부위에 상처가 나거나 다쳐서 병원에 간 적이 있나요?","0"
"마음이 힘들 때, 가족에게 내 마음을 이야기하나요?","0"
"너가 잘못을 하니까 어른들이 화를 낸거 아닐까?","1"
"피시방 같은 곳은 얼마나 자주 가?","0"
"부모님이 너를 때릴 때 너도 잘 못 한 일이 있는거 아니야?","1"
"너가 잘못한게 있어서 그런일이 발생했을꺼야","1"
"그 아저씨에게 어느 부위를 무엇으로 맞았어요?","0"
"그런 일이 자주 있나요?","0"
"주위 어른들 중 나를 때린 적이 있는 사람이 있나요?","0"
"남들 앞에서 혼나거나 다른 아이들과 비교당할 때 있어?","0"
"어른들이 다른 아이들이랑 비교할 때 있어?","0"
"누가 나의 소중한 부위를 만지거나 아프게 한 적이 있나요?","0"
"그게 그렇게 심각하고 문제가 심각한 일이야?","1"
"빨래가 되어 있지 않아서 더럽고 냄새나는 옷을 입어야 한 적이 있나요?","0"
"인터넷이나 휴대폰을 많이 할 때 어른들이 뭐라고 하진 않아?","0"
"인터넷에서 이상한 행동을 하는 사람을 만났을 때, 그 사람이 왜 그랬을지 생각해 본 적 있어?","1"
"부모님이나 선생님 때문에 기분이 안 좋아진 적이 있나요?","0"
"그러면 그렇게 해달라고 한 사람이 있어요?","0"
"돈이 없어서 너에게 필요한 걸 못 사줬다고 느낀 적 있니?","1"
"인터넷이나 휴대폰을 가지고 노는 시간은 하루에 몇 시간 정도인가요?","0"
"선생님이 너를 때렸다고 말하면 안되는거 아냐?","1"
"내가 원하지 않는데도 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?","0"
"다른 사람 앞에서 혼난 적 있어?","0"
"너가 뭔가 잘못을 했으니까 부모님이 너를 안 돌봐주시는거 아니니?","1"
"마음이 힘들 때, 가족에게 내 마음을 이야기하나요?","0"
"어른들이 나를 집에서 쫓아내거나 버리겠다고 말하거나, 어디에 가두고 못 나오게 한 적이 있나요?","0"
"너가 말을 안들으니까 어른들이 화를 내는거 같은데?","1"
"너가 못한게 있으니까 어른들이 그렇게 말을 하고 화를 내는거 아냐?","1"
"할머니가 때리는 이유를 말해주던가요?","0"
"집에서 너를 책임질 어른이 있는지 설명해봐","1"
"부모님이나 선생님 때문에 기분이 안 좋아진 적이 있나요?","0"
"정확한 횟수가 중요해 몇 번이나 그랬어?","1"
"내가 원하지 않는데도 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?","0"
"부모님이 언제 어떻게 했는지 기억해봐","1"
"내가 싫다는 데도 계속해서 연락하거나 따라다니는 사람이 있나요?","0"
"몇 번이나 그런일이 있었는지 기억해봐","1"
"내가 원하지 않는데도 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?","0"
"때리시는 이유가 뭐라고 생각해?","0"
"인터넷이나 휴대폰을 많이 할 때 어른들이 뭐라고 하진 않아?","0"
"그런 건 다들 한 번쯤 겪는 거니까 그냥 넘기면 되는 거지?","1"
"부모님이 바빠서 밥 못 먹은 적 있어도 다른 방법으로 해결하면 되는 거잖아?","1"
"어느 부위를 무엇으로 맞았나요?","0"
"인터넷이나 휴대폰을 많이 할 때 어른들이 뭐라고 하진 않아?","0"
"부모님이나 선생님 때문에 기분이 안 좋아진 적이 있나요?","0"
"내가 싫다는 데도 계속해서 연락하거나 따라다니는 사람이 있나요?","0"
"어느 부위를 무엇으로 맞았나요?","0"
"그런 사진이나 동영상을 찍어서 보내주면 돈을 주겠다고 한 사람은 있어?","0"
"어디를 무엇으로 맞았어?","0"
"너는 잘못을 했으니까 그런일이 생긴거야","1"
"다섯 번 중에 몇 번 정도 오시는 것 같아?","0"
"얼마나 자주 그런가요?","0"
"학교나 학원 끝나고 집에 가면 항상 누가 있나요?","0"
"마음이 힘들 때, 가족에게 내 마음을 이야기하나요?","0"
"밥 안 먹고 넘어간 날도 있었겠지?","1"
"남들 앞에서 혼나거나 다른 아이들과 비교당할 때 있어?","0"
"어디 아픈 곳이 있는데 어른들이 병원에 데려가지 않은 적이 있나요?","0"
"어떤 부분 때문에 친구의 기분이 안 좋아졌어?","0"
"너가 잘못을 했으니까 혼난거 아니야?","1"
"너가 뭔가 잘못한 일이 있을꺼야 그러니까 그런 일이 생기지","1"
"너의 자율성을 못 느끼게 해서 마음이 위축된 적 있니?","1"
"집에서 돈을 걱정하고 어려워하는 걸 느낀적이 있니?","1"
"내가 무엇을 하려고 하면 무조건 안 된다고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요?","0"
"아무런 일도 없었던 거야 그렇잖아?","1"
"집에서 주로 나를 돌봐주는 어른은 누구인가요?","0"
"인터넷이나 휴대폰을 통해 성적인 목적으로 나의 신체 부위를 사진이나 영상을 찍어 누구에게 보내거나 올린 적이 있나요?","0"
"부모님이 감정을 조절 못하고 이상하게 행동한 적 있다고 생각해?","1"
"너가 잘못한 일이 있어서 그런 일이 생긴거 아닐까?","1"
"너의 행동이 어른들에게 어떤 영향을 줬다고 생각해?","1"
"다른 사람 앞에서 혼난 적 있어?","0"
"너는 그 때 정말 무서웠겠다 그치?","1"
"인터넷이나 휴대폰을 가지고 노는 시간은 하루에 몇 시간 정도인가요?","0"
"너가 뭔가 잘못해서 그런거 아니야?","1"
"맞은 것 때문에 다치거나 병원에 가서 치료받은 적이 있나요?","0"
"얼마나 다쳤어?","0"
"누가 그랬어요?","0"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"부모님이나 선생님 때문에 기분이 안 좋아진 적이 있나요?","0"
"그 상황에서 왜 아무런 말을 안했어? 뭐라고 했으면 그런일이 안생겼겠지","1"
"온라인이나 휴대폰에서 알게 된 사람을 실제로 만나본 적 있어?","0"
"빨래가 되어 있지 않아서 더럽고 냄새나는 옷을 입어야 한 적이 있나요?","0"
"다른 사람 앞에서 혼난 적 있어?","0"
"너가 잘했으면 그런 일이 생기지도 않았을껄?","1"
"소중한 부위에 상처가 나거나 다쳐서 병원에 간 적이 있나요?","0"
"집에 부모님 말고 밥을 챙겨주는 사람은 있어?","1"
"어른들한테 혼날 때 보통 누구한테 혼나는 편이야?","0"
"집안일 안 도와서 부모님이 바빠진 거 아니야?","1"
"부모님이 얼마나 자주 너를 안 돌보셨는지 솔직히 말해봐","1"
"너무 많이 한다고 어른들이 뭐라고 안 하시나요?","0"
"누구나 겪는 일이니까 대수롭지 않게 넘길 수 있었지 않아?","1"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"다른 사람 앞에서 혼난 적 있어?","0"
"맞은 것 때문에 다치거나 병원에 가서 치료받은 적이 있나요?","0"
"혼자 있는 거 그냥 심심한 거 아니었어?","1"
"부모님이나 선생님 때문에 기분이 안 좋아진 적이 있나요?","0"
"무엇으로 맞았나요?","0"
"마음이 힘들 때, 가족에게 내 마음을 이야기하나요?","0"
"그냥 참는 게 더 낫지 않았어?","1"
"그냥 잊어버리면 되는 거 아니야?","1"
"너도 혼날 떄 다른 애들 처럼 그냥 조용히 있었잖아?","1"
"그 상황에서 왜 가만히 있었니?","1"
"왜 그렇게 했어요?","0"
"어떤 부분 때문에 친구의 기분이 안 좋아졌어?","0"
"학교나 학원 끝나고 집에 가면 항상 누가 있나요?","0"
"그러면 그렇게 해달라고 한 사람이 있어요?","0"
"깨끗하지 않은 옷이나 안 맞는 옷을 입고 다닌 적 있어?","0"
"그 일이 그렇게 큰 문제였다고 생각해?","1"
"부모님이 항상 널 무시하고 소리를 지르는 거야?","1"
"그런 행동이 네 마음속 자신감을 어떻게 바꿨을까?","1"
"그 사람이 너를 때렸을 때 너는 너무 무서워서 아무말도 못했지?","1"
"그런 일 그냥 넘기면 되는 거 아니야?","1"
"한 달에 몇 번 정도 그랬어?","0"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"어른들이 운동회나 참관 수업 또는 학부모 상담 같은 학교 행사에 잘 오시나요?","0"
"어떻게 혼내셔? 혼낼 때 때리기도 하셔?","0"
"무슨일이 있었는지 솔직히 대답해","1"
"부모님이나 선생님이 화를 내는게 그렇게 큰 문제는 아니라고 생각하지?","1"
"옷이나 신발 사이즈가 작은 걸 입거나 신고 다닌 적이 있나요?","0"
"온라인이나 휴대폰에서 알게 된 사람을 실제로 만나본 적 있어?","0"
"가족이 돈이 없는 어려운 상황이라 너가 원하는 것을 얻지 못해 불편한적이 있니?","1"
"너는 집에 혼자 자주 있는거 같은데 그 때 무섭고 두려운가?","1"
"누가 그랬어요?","0"
"누가 그랬어요?","0"
"어른들이 운동회나 참관 수업 또는 학부모 상담 같은 학교 행사에 잘 오시나요?","0"
"한 달에 몇 번 정도 그런 일이 있어?","0"
"어른들이 다른 아이들이랑 비교할 때 있어?","0"
"밥은 항상 잘 먹고 다니지?","1"
"사진이나 영상 올렸거나 보낸 적 있으면 누가 시켰는지도 말해","1"
"어른들한테 혼날 때 보통 누구한테 혼나는 편이야?","0"
"그 일 너한테 그렇게 중요한 일은 아니었지?","1"
"그 사람이 대체 누구야 알아야하니까 대답해","1"
"그 사람은 아마 너를 사랑하고 좋아해서 그런 행동을 한거 아닐까?","1"
"어른들이 다른 아이들이랑 비교할 때 있어?","0"
"부모님은 밥을 잘 챙겨주시지? 집에서 배가 고파서 잠을 못자거 나 그러진 않잖아","1"
"어떻게 했어요?","0"
"너는 어른들이 말한 것 때문에 기분이 나빠지거나 슬퍼진적 없지?","1"
"밥을 제대로 못 먹어서 배고픈 적이 있었어? 얼마나 자주 그래?","1"
"너가 잘못한일이 있기 때문에 어른들이 너에게 화를 내는걸꺼야","1"
"어른들이 다른 아이들이랑 비교할 때 있어?","0"
"너가 잘 못해서 그런일이 생긴거라고 보인다","1"
"맞은 것 때문에 다치거나 병원에 가서 치료받은 적이 있나요?","0"
"어른들이 나를 집에서 쫓아내거나 버리겠다고 말하거나, 어디에 가두고 못 나오게 한 적이 있나요?","0"
"그런 사진이나 동영상을 찍어서 보내주면 돈을 주겠다고 한 사람은 있어?","0"
"그 정도 일로 그렇게까지 속상했어야 했을까?","1"
"배가 고픈데 먹을 게 없어서 굶은 적이 있나요?","0"
"누가 그랬어요?","0"
"너가 집에서 말을 잘 안들으니까 집에서 너를 안돌봐주는거 아닐까?","1"
"너가 잘못해서 혼나는거 아냐?","1"
"너가 뭔가 잘못했으니까 그런일이 생긴거 같다고 보인다.","1"
"맞은 것 때문에 다치거나 병원에 가서 치료받은 적이 있나요?","0"
"그 일이 그렇게 큰일은 아니었던 거 같은데?","1"
"최근에 나를 때린 어른은 누구인가요? 누가 그랬어요?","0"
"그 일이 얼마나 자주 일어났고, 얼마나 심각했는지 평가할 수 있어?","1"
"인터넷이나 휴대폰을 많이 할 때 어른들이 뭐라고 하진 않아?","0"
"남들 앞에서 혼나거나 다른 아이들과 비교당할 때 있어?","0"
"빨래가 되어 있지 않아서 더럽고 냄새나는 옷을 입어야 한 적이 있나요?","0"
"장난인데 왜 그렇게 예민하게 반응했어?","1"
"부모님이 너가 다른 친구보다 못났다고 말한적이 있어?","1"
"소중한 부위에 상처가 나거나 다쳐서 병원에 간 적이 있나요?","0"
"엄마 집에 잘 안 계셔도 혼자 잘 지낼 수 있잖아?","1"
"어른들이 운동회나 참관 수업 또는 학부모 상담 같은 학교 행사에 잘 오시나요?","0"
"누가 나의 소중한 부위를 만지거나 아프게 한 적이 있나요?","0"
"깨끗하지 않은 옷이나 안 맞는 옷을 입고 다닌 적 있어?","0"
"최근에 나를 때린 어른은 누구인가요? 누가 그랬어요?","0"
"누가 널 만졌지? 그게 누구야?","1"
"무엇으로 맞았나요?","0"
"맞을 때 그냥 아프기만 했던 거지?","1"
"왜 혼날만한 행동을 했어? 솔직하게","1"
"남들 앞에서 혼나거나 다른 아이들과 비교당할 때 있어?","0"
"네가 옷이랑 신발을 제대로 챙기지 않아서 작아진 거 아니야?","1"
"한 달에 몇 번 정도 그랬어?","0"
"어른들 때문에 마음이 많이 힘들었던 적이 있니?","1"
"집에 있는 항상 편안하고 안전하지? 불안한 생각은 안들거야","1"
"너는 혼자 집에 있어도 어려운거 없이 잘 지낼 수 있잖아?","1"
"너가 늦게까지 놀아서 가족들이 너를 신경쓰지 않는거 아냐?","1"
"왜 그런 상황을 경험하게 된건지 말해봐바","1"
"누가 나의 소중한 부위를 만지거나 아프게 한 적이 있나요?","0"
"집에 가면 누가 있는지 분명히 말해, 정확히 알아야 해","1"
"부모님이 스트레스를 받을 때, 그걸 너에게 어떻게 표현하는 것 같니?","1"
"깨끗하지 않은 옷이나 안 맞는 옷을 입고 다닌 적 있어?","0"
"옷이나 신발 사이즈가 작은 걸 입거나 신고 다닌 적이 있나요?","0"
"부모님이 인터넷 조금만 하라고 한적 있지?","1"
"어디를 무엇으로 맞았어?","0"
"부모님이 너를 때렸을 리가 없어 그러면 넌 어디가 아픈거야 지금?","1"
"그냥 빨리 잊어버리는 게 낫지 않을까?","1"
"언제 어디서 어디를 아프게 맞았는지 솔직히 말해야 내가 도와주지","1"
"어디를 무엇으로 맞았어?","0"
"어떻게 했어요?","0"
"그 일은 큰 문제가 아니라 다른 데 집중하면 괜찮아질 거야, 맞지?","1"
"어디 아픈 곳이 있는데 어른들이 병원에 데려가지 않은 적이 있나요?","0"
"그 상황에 너가 아니라고 말했다면 너의 잘 못은 아닐꺼야","1"
"집에 아무도 없이 혼자 있어도 잘 지낼 수 있어?","1"
"너가 할머니를 화나게했기 때문에 할머니가 너를 때린거니?","1"
"집에 왔을 때, 엄마 아빠가 네 기분이나 하루 어땠는지 물어보지 않는다면, 어떤 기분이 드니?","1"
"나의 신체 부위를 사진, 영상을 찍어 어디에 올리거나 보낸 적이 있나요? 아니면, 누가 그렇게 해달라고 한 적이 있나요?","0"
"집에 가면 어른이 제대로 돌보고 있는 거 맞지? 솔직히 말해봐","1"
"최근에 나를 때린 어른은 누구인가요? 누가 그랬어요?","0"
"그렇게 행동을 하니까 어른들이 화를 내지","1"
"학교나 학원 끝나고 집에 가면 항상 누가 있나요?","0"
"얼마나 다쳤어?","0"
"그런 일이 자주 있나요?","0"
"너는 어떤 이유로 그런 행동을 했다고 생각해?","1"
"얼마나 다쳤어?","0"
"그럴 때 너는 어떤 마음으로 그렇게 행동했을까?","1"
"그게 정말 그렇게 큰 문제였다고 생각해?","1"
"너는 뭘 잘못했길래 그런 일이 생긴거야?","1"
"어떤 부분 때문에 친구의 기분이 안 좋아졌어?","0"
"엄마 아빠가 너에게 감정적인 도움이나 물질적인 도움을 못해준다고 느낀 적 있어?","1"
"너가 집안일을 잘 못해서 그런거 아니야?","1"
"너가 너무 예민한거야 어른들이 너 한테 나쁜 의도로 그런 말을 한건 아닐꺼야","1"
"그냥 그러려니 넘기면 되는 거 아니야?","1"
"집에서 혼자 밥 잘 먹고 있지 안그러면 부모님이 슬퍼하실꺼야","1"
"할머니가 때리는 이유를 말해주던가요?","0"
"어른들이 나를 집에서 쫓아내거나 버리겠다고 말하거나, 어디에 가두고 못 나오게 한 적이 있나요?","0"
"너가 뭔가 잘못된 행동을 해서 그런 일이 생긴거라고 생각한적은 없어?","1"
"그냥 잊고 싶은 거 아니야?","1"
"누가 너를 왜 때렸고 언제 그랬는지 거짓없이 말해","1"
"할머니가 때리는 이유를 말해주던가요?","0"
"누가 그랬어요?","0"
"그냥 실수로 다친거 아니야?","1"
"너는 왜 그런 상황에 있었어? 도망쳤어야지","1"
"왜 계속 참아? 화를 내거야 해야할꺼아냐?","1"
"어떤 부분 때문에 친구의 기분이 안 좋아졌어?","0"
"나의 신체 부위를 사진, 영상을 찍어 어디에 올리거나 보낸 적이 있나요? 아니면, 누가 그렇게 해달라고 한 적이 있나요?","0"
"무엇으로 맞았나요?","0"
"피시방 같은 곳은 얼마나 자주 가?","0"
"그냥 참는 게 더 편했지 않았어?","1"
"인터넷이나 휴대폰을 통해 성적인 목적으로 나의 신체 부위를 사진이나 영상을 찍어 누구에게 보내거나 올린 적이 있나요?","0"
"어떻게 혼내셔? 혼낼 때 때리기도 하셔?","0"
"하루에 몇 시간 인터넷 하지 말라고 하셨는지 말해봐","1"
"할머니가 때리는 이유를 말해주던가요?","0"
"그래도 별일은 아니었지, 그렇지?","1"
"진실을 알아야겠어 누가 너한테 그런걸 시킨거야?","1"
"이상한 사진을 찍으려고 한 사람이 있었구나?","1"
"내가 무엇을 하려고 하면 무조건 안 된다고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요?","0"
"너는 그 상황이 별로라는 생각을 했어?","1"
"누가 그랬는지 말 안 하면 도와줄 수 없어","1"
"일주일에 몇 번 정도 그런 일이 있어?","0"
"그런 일 생겨도 괜찮았지?","1"
"옷이나 신발 사이즈가 작은 걸 입거나 신고 다닌 적이 있나요?","0"
"누가 그랬나요? 몇 살 정도 되어 보였나요?","0"
"어른들이 운동회나 참관 수업 또는 학부모 상담 같은 학교 행사에 잘 오시나요?","0"
"너가 뭔가 잘못했으니까 그런거 같은데","1"
"그게 그렇게 큰 문제라고 생각한 이유가 뭐야?","1"
"소중한 부위에 상처가 나거나 다쳐서 병원에 간 적이 있나요?","0"
"왜 거기서 벗어나거나 도망치지 않았어?","1"
"그 사람이 왜 그런 행동을 했을까?","1"
"네가 하고 싶은 걸 못 하게 했던 적이 있니?","1"
"너는 그런 일 별로 신경쓰고 싶지 않잖아","1"
"너는 항상 집에서 밥을 잘 먹고 다녀서 배고픈 적은 없을꺼야","1"
"부모님이 화를 내면 너가 잘 못 했기 때문인거 아니야?","1"
"인터넷이나 휴대폰을 통해 성적인 목적으로 나의 신체 부위를 사진이나 영상을 찍어 누구에게 보내거나 올린 적이 있나요?","0"
"네 감정을 어른의 입장에서 생각해볼 수 있어?","1"
"최근에 나를 때린 어른은 누구인가요? 누가 그랬어요?","0"
"어른들이 시키는대로만 하라고 하면 너는 어떻게 할지 솔직히 대답해봐","1"
"한 달에 몇 번 정도 그랬어?","0"
"너가 그렇게 행동을 해서 부모님이 화낸거 같은데?","1"
"그 사람이 너를 무섭게 만들었어? 얼마나 무서웠어?","1"
"때리시는 이유가 뭐라고 생각해?","0"
"그 사람이 너를 왜 때렸다고 생각하니? 솔직하게","1"
"마음이 힘들 때, 가족에게 내 마음을 이야기하나요?","0"
"네가 문제를 일으켜서 부모님이 바빠지신 거 아닐까?","1"
"왜 부모님 말 안 듣고 인터넷을 그렇게 오래 써? 당장 줄여야지","1"
"나의 신체 부위를 사진, 영상을 찍어 어디에 올리거나 보낸 적이 있나요? 아니면, 누가 그렇게 해달라고 한 적이 있나요?","0"
"너무 많이 한다고 어른들이 뭐라고 안 하시나요?","0"
"너무 많이 한다고 어른들이 뭐라고 안 하시나요?","0"
"왜 엄마가 그런 행동을 했다고 생각해?","1"
"그 일로 기분이 나빴던 거야? 아니면 그냥 아무렇지도 않았어?","1"
"부모님이 네 감정을 무시한 적이 있니?","1"
"어떻게 만졌어?","0"
